股票代號,股票名稱,成交金額(元),成交金額_分類
2504,國產,55645.200000000004,熱門
4168,醣聯,55767.0,熱門
4303,信立,55841.5,熱門
3540,曜越,55944.7,熱門
6727,亞泰金屬,55968.0,熱門
2753,八方雲集,56088.0,熱門
6491,晶碩,56400.0,熱門
4142,國光生,56436.75,熱門
1905,華紙,56687.4,熱門
6214,精誠,56994.0,熱門
2727,王品,57378.0,熱門
4974,亞泰,58228.2,熱門
2903,遠百,58299.2,熱門
2305,全友,58350.6,熱門
2425,承啟,58874.399999999994,熱門
4542,科嶠,58963.799999999996,熱門
6546,正基,59024.0,熱門
1713,國化,59034.5,熱門
7777,能率亞洲,59161.4,熱門
8227,巨有科技,59472.0,熱門
9934,成霖,59475.600000000006,熱門
6763,綠界科技*,59825.6,熱門
3712,永崴投控,59921.25,熱門
6291,沛亨,60028.0,熱門
8341,日友,60302.399999999994,熱門
8926,台汽電,60350.4,熱門
6722,輝創,60377.200000000004,熱門
6456,GIS-KY,60406.4,熱門
2062,橋椿,60851.45,熱門
8240,華宏,60896.0,熱門
6234,高僑,60991.200000000004,熱門
3591,艾笛森,61146.4,熱門
6994,富威電力,61395.399999999994,熱門
8091,翔名,61513.0,熱門
1316,上曜,61701.5,熱門
1539,巨庭,61956.25,熱門
2405,輔信,62086.4,熱門
4167,松瑞藥,62195.799999999996,熱門
2641,正德,62441.6,熱門
4105,東洋,62523.9,熱門
4162,智擎,62604.700000000004,熱門
8942,森鉅,63349.65,熱門
9917,中保科,63438.0,熱門
3073,天方能源,63509.2,熱門
6202,盛群,63799.100000000006,熱門
3022,威強電,64938.0,熱門
3622,洋華,65291.399999999994,熱門
6657,華安,65367.899999999994,熱門
7749,意騰-KY,65790.0,熱門
1568,倉佑,66088.8,熱門
4157,太景*-KY,66838.2,熱門
4561,健椿,66943.59999999999,熱門
6206,飛捷,67284.0,熱門
3558,神準,67482.0,熱門
6143,振曜,68200.0,熱門
3526,凡甲,68226.0,熱門
7750,新代,69093.0,熱門
7703,銳澤,69768.0,熱門
2442,新美齊,70219.0,熱門
3033,威健,70755.75,熱門
6245,立端,70758.4,熱門
2206,三陽工業,70800.0,熱門
1789,神隆,70812.3,熱門
1304,台聚,70922.25,熱門
3483,力致,71004.0,熱門
6953,家碩,71225.0,熱門
6469,大樹,71240.40000000001,熱門
6909,創控,71297.4,熱門
4536,拓凱,71904.0,熱門
1529,樂事綠能,72777.25,熱門
4534,慶騰,72929.4,熱門
3430,奇鈦科,73179.7,熱門
6712,長聖,74261.0,熱門
6133,金橋,74399.6,熱門
9939,宏全,74418.0,熱門
2612,中航,74473.2,熱門
3548,兆利,74973.59999999999,熱門
9938,百和,76148.4,熱門
6526,達發,76198.5,熱門
3312,弘憶股,77008.05,熱門
6134,萬旭,77348.85,熱門
5315,光聯,77368.5,熱門
6227,茂綸,77422.4,熱門
3580,友威科,77570.09999999999,熱門
4571,鈞興-KY,77976.0,熱門
2302,麗正,78084.5,熱門
6120,達運,79023.6,熱門
6937,天虹,79165.0,熱門
4441,振大環球,79447.5,熱門
3346,麗清,79823.8,熱門
2236,百達-KY,80333.5,熱門
7734,印能科技,80640.0,熱門
1589,永冠-KY,80829.45,熱門
2351,順德,81118.8,熱門
3135,凌航,82276.0,熱門
3717,聯嘉投控,82278.5,熱門
2548,華固,82452.5,熱門
7722,LINEPAY,82665.0,熱門
8234,新漢,83253.6,熱門
5864,致和證,84100.09999999999,熱門
6411,晶焱,84216.3,熱門
1305,華夏,84399.9,熱門
1229,聯華,84667.1,熱門
6231,系微,85266.5,熱門
8478,東哥遊艇,85580.0,熱門
4513,福裕,85783.3,熱門
7810,捷創科技,86268.0,熱門
6806,森崴能源,87373.0,熱門
6192,巨路,89040.0,熱門
8255,朋程,89250.0,熱門
6235,華孚,89371.1,熱門
3354,律勝,89967.90000000001,熱門
7711,永擎,90428.0,熱門
6412,群電,90720.0,熱門
3025,星通,90792.0,熱門
3587,閎康,91392.0,熱門
3059,華晶科,91810.25,熱門
2104,國際中橡,92162.5,熱門
2480,敦陽科,93130.0,熱門
2838,聯邦銀,93144.7,熱門
2540,愛山林,93313.0,熱門
6205,詮欣,93959.5,熱門
3004,豐達科,94300.0,熱門
3693,營邦,94380.0,熱門
4532,瑞智,95546.25,熱門
6719,力智,95830.0,熱門
2597,潤弘,96744.0,熱門
6153,嘉聯益,96940.8,熱門
2466,冠西電,97944.0,熱門
2204,中華,97970.3,熱門
3047,訊舟,98883.09999999999,熱門
2515,中工,98928.0,熱門
4903,聯光通,99505.2,熱門
6768,志強-KY,100382.0,熱門
8068,全達,100767.6,熱門
6177,達麗,101155.2,熱門
8936,國統,101275.2,熱門
6670,復盛應用,101382.0,熱門
8473,山林水,101501.05,熱門
3029,零壹,102480.0,熱門
1809,中釉,102725.0,熱門
4562,穎漢,103164.8,熱門
3078,僑威,105943.99999999999,熱門
6451,訊芯-KY,106142.0,熱門
6609,瀧澤科,106329.45,熱門
1434,福懋,106664.0,熱門
8454,富邦媒,108182.5,熱門
6725,矽科宏晟,108199.0,熱門
1210,大成,108679.4,熱門
2731,雄獅,108876.0,熱門
2323,中環,109268.4,熱門
1409,新纖,109651.5,熱門
3049,精金,109912.08000000002,熱門
9802,鈺齊-KY,110068.8,熱門
5009,榮剛,110126.25,熱門
3014,聯陽,110448.0,熱門
8081,致新,111000.0,熱門
6278,台表科,111162.0,熱門
6962,奕力-KY,111755.0,熱門
3317,尼克森,112498.2,熱門
2867,三商壽,112511.8,熱門
3221,台嘉碩,113092.75,熱門
9955,佳龍,114320.70000000001,熱門
3217,優群,114360.5,熱門
3289,宜特,115198.0,熱門
5263,智崴,116064.0,熱門
3501,維熹,116322.5,熱門
1540,喬福,116543.7,熱門
2889,國票金,116559.15000000001,熱門
4585,達明,116610.0,熱門
4770,上品,117132.0,熱門
3294,英濟,117708.40000000001,熱門
9945,潤泰新,118851.25,熱門
2436,偉詮電,119918.4,熱門
6462,神盾,120309.0,熱門
6279,胡連,120615.0,熱門
1810,和成,120767.99999999999,熱門
2332,友訊,121178.40000000001,熱門
2208,台船,121435.20000000001,熱門
6104,創惟,121495.5,熱門
6016,康和證,122448.15,熱門
2228,劍麟,123220.5,熱門
4766,南寶,125367.0,熱門
4551,智伸科,126616.5,熱門
1618,合機,126619.40000000001,熱門
7402,邑錡,126852.0,熱門
4739,康普,127069.2,熱門
6592,和潤企業,127112.40000000001,熱門
2845,遠東銀,127203.2,熱門
2646,星宇航空,127304.20000000001,熱門
2207,和泰車,128454.0,熱門
2630,亞航,129276.0,熱門
6890,來億-KY,129299.0,熱門
2543,皇昌,129511.79999999999,熱門
2439,美律,132500.0,熱門
2365,昆盈,133480.2,熱門
6197,佳必琪,133623.0,熱門
8070,長華*,134323.95,熱門
4563,百德,135033.0,熱門
3086,華義,135729.0,熱門
6125,廣運,135907.2,熱門
1312,國喬,136272.35,熱門
6517,保勝光學,137006.69999999998,熱門
2355,敬鵬,137316.6,熱門
8086,宏捷科,137572.5,熱門
3714,富采,138128.9,熱門
2340,台亞,138322.19999999998,熱門
3010,華立,140007.0,熱門
4909,新復興,141470.0,熱門
4543,萬在,141960.0,熱門
1215,卜蜂,142674.0,熱門
4123,晟德,143400.94999999998,熱門
2633,台灣高鐵,143907.25,熱門
2393,億光,144189.0,熱門
6269,台郡,144273.2,熱門
6138,茂達,144320.0,熱門
4968,立積,145705.5,熱門
4953,緯軟,147968.0,熱門
2201,裕隆,149169.6,熱門
6533,晶心科,150550.5,熱門
4915,致伸,151606.4,熱門
1527,鑽全,152983.69999999998,熱門
6834,天二科技,153161.25,熱門
6840,東研信超,154076.4,熱門
3051,力特,154135.5,熱門
1722,台肥,154592.1,熱門
1597,直得,154795.0,熱門
8016,矽創,154850.0,熱門
3543,州巧,155536.8,熱門
2014,中鴻,156612.3,熱門
8155,博智,157711.5,熱門
2392,正崴,157889.9,熱門
2006,東和鋼鐵,158167.19999999998,熱門
2484,希華,158235.35,熱門
5530,龍巖,159152.0,熱門
1612,宏泰,160371.19999999998,熱門
4541,晟田,161136.0,熱門
6739,竹陞科技,162150.0,熱門
2428,興勤,163800.0,熱門
6949,沛爾生醫-創,164323.5,熱門
6603,富強鑫,167072.0,熱門
5292,華懋,167400.0,熱門
6830,汎銓,167804.0,熱門
2915,潤泰全,167954.90000000002,熱門
4949,有成精密,173230.0,熱門
8499,鼎炫-KY,174042.0,熱門
6126,信音,174946.8,熱門
2231,為升,175787.5,熱門
2352,佳世達,177531.0,熱門
1736,喬山,177786.0,熱門
5904,寶雅,178080.0,熱門
6435,大中,184057.5,熱門
6831,邁科,185130.0,熱門
3380,明泰,189549.15,熱門
3605,宏致,190737.6,熱門
3062,建漢,190816.55,熱門
6265,方土昶,190885.4,熱門
6757,台灣虎航,191028.2,熱門
2419,仲琦,191305.6,熱門
3675,德微,192820.0,熱門
4906,正文,194111.45,熱門
3704,合勤控,194944.8,熱門
2359,所羅門,195277.5,熱門
4973,廣穎,195654.8,熱門
6605,帝寶,196291.5,熱門
2211,長榮鋼,196452.0,熱門
2493,揚博,196535.5,熱門
6152,百一,196810.40000000002,熱門
6207,雷科,199563.0,熱門
3207,耀勝,202538.0,熱門
4722,國精化,202824.0,熱門
6176,瑞儀,203112.0,熱門
3673,TPK-KY,205309.0,熱門
6121,新普,206152.0,熱門
2637,慧洋-KY,206255.0,熱門
2458,義隆,206973.0,熱門
3406,玉晶光,207000.0,熱門
8390,金益鼎,209664.0,熱門
6175,立敦,210234.0,熱門
6664,群翊,210240.0,熱門
6667,信紘科,210400.0,熱門
1582,信錦,211045.40000000002,熱門
6753,龍德造船,211318.0,熱門
7610,聯友金屬-創,211380.0,熱門
3023,信邦,211628.0,熱門
2855,統一證,214297.65000000002,熱門
6862,三集瑞-KY,215424.0,熱門
6584,南俊國際,216648.0,熱門
9941,裕融,218429.4,熱門
6244,茂迪,218477.0,熱門
8104,錸寶,218511.35,熱門
6122,擎邦,218781.5,熱門
6776,展碁國際,223070.69999999998,熱門
5284,jpp-KY,225656.0,熱門
3163,波若威,228573.0,熱門
2542,興富發,232857.6,熱門
6789,采鈺,233415.0,熱門
3592,瑞鼎,234696.0,熱門
3027,盛達,234996.19999999998,熱門
3016,嘉晶,235380.0,熱門
3515,華擎,236827.5,熱門
2338,光罩,237606.6,熱門
3709,鑫聯大投控,237733.80000000002,熱門
4763,材料*-KY,238237.19999999998,熱門
2413,環科,238239.0,熱門
2399,映泰,239476.9,熱門
8436,大江,241395.0,熱門
3581,博磊,242995.19999999998,熱門
3152,璟德,244352.0,熱門
8105,凌巨,246717.9,熱門
2401,凌陽,247655.1,熱門
6672,騰輝電子-KY,249349.7,熱門
9904,寶成,250656.5,熱門
4977,眾達-KY,251575.5,熱門
3227,原相,253536.0,熱門
9910,豐泰,253953.0,熱門
1587,吉茂,254508.80000000002,熱門
1314,中石化,257122.11000000002,熱門
4961,天鈺,260106.0,熱門
2880,華南金,260938.8,熱門
3015,全漢,263064.2,熱門
3545,敦泰,263268.0,熱門
2812,台中銀,268313.39999999997,熱門
3663,鑫科,268746.5,熱門
5392,能率,269083.2,熱門
5443,均豪,269606.4,熱門
8038,長園科,270048.0,熱門
4526,東台,270903.0,熱門
5521,工信,270983.3,熱門
3402,漢科,272291.0,熱門
3372,典範,277769.25,熱門
9933,中鼎,278284.5,熱門
8431,匯鑽科,278983.3,熱門
