股票代號,股票名稱,成交金額(元),成交金額_分類
8933,愛地雅,11808.16,中間
2250,IKKA-KY,11824.8,中間
9937,全國,11855.199999999999,中間
6658,聯策,11897.6,中間
3349,寶德,12000.0,中間
2022,聚亨,12000.300000000001,中間
3555,博士旺,12026.0,中間
1783,和康生,12036.0,中間
8446,華研,12134.4,中間
1732,毛寶,12182.5,中間
3705,永信,12204.9,中間
3094,聯傑,12214.5,中間
3205,佰研,12238.5,中間
6922,宸曜,12285.0,中間
3052,夆典,12296.699999999999,中間
9927,泰銘,12298.0,中間
6142,友勁,12311.4,中間
5457,宣德,12324.0,中間
5905,南仁湖,12366.960000000001,中間
3306,鼎天,12437.550000000001,中間
4987,科誠,12454.2,中間
4557,永新-KY,12465.6,中間
1591,駿吉-KY,12475.0,中間
5203,訊連,12481.800000000001,中間
6148,驊宏資,12518.449999999999,中間
7642,昶瑞機電,12541.1,中間
2745,五福,12636.0,中間
6218,豪勉,12645.449999999999,中間
2613,中櫃,12692.35,中間
2545,皇翔,12703.949999999999,中間
3046,建碁,12744.0,中間
4137,麗豐-KY,12749.0,中間
2820,華票,12769.35,中間
6224,聚鼎,12816.0,中間
6579,研揚,12880.0,中間
3623,富晶通,12883.800000000001,中間
2032,新鋼,12925.8,中間
6617,共信-KY,12939.6,中間
2748,雲品,12962.25,中間
6168,宏齊,12978.9,中間
3552,同致,12979.199999999999,中間
2546,根基,13021.0,中間
6266,泰詠,13041.7,中間
6161,捷波,13081.599999999999,中間
6901,鑽石投資,13083.0,中間
8213,志超,13110.0,中間
6679,鈺太,13125.0,中間
3296,勝德,13230.0,中間
1707,葡萄王,13230.0,中間
3297,杭特,13334.199999999999,中間
8099,大世科,13348.0,中間
3031,佰鴻,13453.199999999999,中間
2755,揚秦,13514.0,中間
8183,精星,13567.7,中間
2390,云辰,13574.0,中間
6492,生華科,13665.300000000001,中間
1309,台達化,13676.75,中間
4506,崇友,13744.5,中間
1533,車王電,13760.8,中間
2397,友通,13801.599999999999,中間
